"Age","Year","Country","RMI"
68,1964,"France",0.0173339931526303
69,1964,"France",0.0179157970692688
70,1964,"France",0.0129327162536683
71,1964,"France",0.0169311292903682
72,1964,"France",0.0161646222414226
73,1964,"France",0.0142733148142456
74,1964,"France",0.0158663828310663
75,1964,"France",0.0174670842458707
76,1964,"France",0.0158793789329026
77,1964,"France",0.0175692749987521
78,1964,"France",0.0177892420546301
79,1964,"France",0.0130614195702363
80,1964,"France",0.011287476519704
81,1964,"France",0.00869893392277575
82,1964,"France",0.0096266648134502
83,1964,"France",0.010063734096355
84,1964,"France",0.0108128937143153
85,1964,"France",0.00990893175992934
86,1964,"France",0.00769099604931738
87,1964,"France",0.00916141410886788
88,1964,"France",0.00774078972031868
89,1964,"France",0.00545920535335774
90,1964,"France",0.00530929911370561
91,1964,"France",-0.00227035153911171
92,1964,"France",0.00592843469801634
93,1964,"France",0.0029440551994517
94,1964,"France",0.007590283599917
95,1964,"France",0.0110602812241133
96,1964,"France",-0.00596589220087043
97,1964,"France",0.000106716196191947
98,1964,"France",-0.0147087411230901
99,1964,"France",0.000831492849755
100,1964,"France",-0.0297936480359871
101,1964,"France",-0.0390853330835984
102,1964,"France",-0.04
103,1964,"France",-0.04
104,1964,"France",-0.0322364516918541
105,1964,"France",-0.04
106,1964,"France",-0.04
107,1964,"France",-0.04
108,1964,"France",-0.00120622972157851
109,1964,"France",0.000772740559165142
110,1964,"France",0.00067398312915391
0,1965,"France",0.04
1,1965,"France",0.04
2,1965,"France",0.04
3,1965,"France",0.0281938929463056
4,1965,"France",0.04
5,1965,"France",-0.00419708335961408
6,1965,"France",0.0172346604148031
7,1965,"France",0.00556287848597493
8,1965,"France",0.00715887616123249
9,1965,"France",0.0122503434722868
10,1965,"France",0.00508023576092488
11,1965,"France",0.0261800439292498
12,1965,"France",0.0144018149664555
13,1965,"France",0.0117474626210965
14,1965,"France",0.0117826297467502
15,1965,"France",0.0169848913145837
16,1965,"France",0.002629844698915
17,1965,"France",0.00323808615786245
18,1965,"France",-0.00454779873303248
19,1965,"France",0.00648084383988516
20,1965,"France",-0.0115390676110396
21,1965,"France",-0.00414999829798633
22,1965,"France",-0.00449161204470694
23,1965,"France",0.0120769326759398
24,1965,"France",-0.000728008271128822
25,1965,"France",0.0195039344738167
26,1965,"France",0.0255602535074884
27,1965,"France",0.0145430959575133
28,1965,"France",0.039181495793442
29,1965,"France",0.027237229931215
30,1965,"France",0.0315806977592795
31,1965,"France",0.04
32,1965,"France",0.0225170534265274
33,1965,"France",0.0388268237831917
34,1965,"France",0.0370240066592818
35,1965,"France",0.0266180737673083
36,1965,"France",0.0388341761354815
37,1965,"France",0.0252055051763317
38,1965,"France",0.0242557672741722
39,1965,"France",0.0108770946405595
40,1965,"France",0.0286220750906106
41,1965,"France",0.0101383492925723
42,1965,"France",0.0210363511472458
43,1965,"France",0.0197923724420851
44,1965,"France",0.0184119679219151
45,1965,"France",0.0213160186780755
46,1965,"France",0.0103796355629565
47,1965,"France",0.0180517287520124
48,1965,"France",0.0280273564682671
49,1965,"France",0.0231002518876749
50,1965,"France",0.0196689930039643
51,1965,"France",0.0229649056248953
52,1965,"France",0.0207256981638602
53,1965,"France",0.0248273618078342
54,1965,"France",0.0220069051775027
55,1965,"France",0.0184437601150575
56,1965,"France",0.0210552111889823
57,1965,"France",0.0221514111242338
58,1965,"France",0.0243527436297248
59,1965,"France",0.0205997314440527
60,1965,"France",0.0228692170125872
61,1965,"France",0.0243236323231432
62,1965,"France",0.0221125514244079
63,1965,"France",0.0209371171501132
64,1965,"France",0.020672835253056
65,1965,"France",0.0212883055716368
66,1965,"France",0.0261232688085536
67,1965,"France",0.0211812344109774
68,1965,"France",0.0242360570941436
69,1965,"France",0.0227831733503008
70,1965,"France",0.0210247625516002
71,1965,"France",0.0247128336740291
72,1965,"France",0.0229396036506377
73,1965,"France",0.0202012267268646
74,1965,"France",0.0231151938744711
75,1965,"France",0.0216768029670086
76,1965,"France",0.0234922670417277
77,1965,"France",0.0292382846912405
78,1965,"France",0.0270875623342192
79,1965,"France",0.0250350370923793
80,1965,"France",0.0202930388013473
81,1965,"France",0.0201408642532572
82,1965,"France",0.0231925938373896
83,1965,"France",0.0199199470004248
84,1965,"France",0.020705158064661
85,1965,"France",0.0200951024706609
86,1965,"France",0.0190762736827197
87,1965,"France",0.0179277571001748
88,1965,"France",0.0166632381536269
89,1965,"France",0.0200294585177683
90,1965,"France",0.0182490640557227
91,1965,"France",0.0141999601306741
92,1965,"France",0.0190725209784221
93,1965,"France",0.0203616457376946
94,1965,"France",0.0220299745214452
95,1965,"France",0.017719833100493
96,1965,"France",0.0164983789052166
97,1965,"France",0.0109233322638862
98,1965,"France",0.0103433383277558
99,1965,"France",-0.0247503284755269
100,1965,"France",0.0323559806496243
101,1965,"France",0.0131680192942521
102,1965,"France",-0.0110157837217648
103,1965,"France",-0.00712252128573542
104,1965,"France",-0.0180949581762832
105,1965,"France",-0.04
106,1965,"France",-0.04
107,1965,"France",-0.04
108,1965,"France",0.00626773176186948
109,1965,"France",0.00774979654319717
110,1965,"France",0.00716732456016335
0,1966,"France",0.04
1,1966,"France",0.04
2,1966,"France",0.04
3,1966,"France",0.0361376139075206
4,1966,"France",0.0119241131668359
5,1966,"France",0.024598049857307
6,1966,"France",0.0120375822344314
7,1966,"France",0.0160077212430224
8,1966,"France",0.00827747359669225
9,1966,"France",0.0223610074561902
10,1966,"France",0.0184834798197706
11,1966,"France",0.00700438907562886
12,1966,"France",0.0226540710296253
13,1966,"France",-0.00218310848752609
14,1966,"France",0.000366177420591685
15,1966,"France",-0.0141417573426546
16,1966,"France",0.00520958051495833
17,1966,"France",0.0159872395202234
18,1966,"France",-0.00590632481763966
19,1966,"France",-0.0138686504912073
20,1966,"France",-0.0121988476187206
21,1966,"France",-0.0035061008095751
22,1966,"France",-0.0109780962370053
23,1966,"France",-0.0158994490356782
24,1966,"France",0.0207382696686185
25,1966,"France",0.0328807874775078
26,1966,"France",0.00645562337920367
27,1966,"France",0.00136207852184834
28,1966,"France",0.0388333240303304
29,1966,"France",0.0124195576353106
30,1966,"France",0.0346950506600794
31,1966,"France",0.0203804576579995
32,1966,"France",0.0176370135282539
33,1966,"France",0.0215655062893161
34,1966,"France",0.0226758459365593
35,1966,"France",0.0294934225852175
36,1966,"France",0.0241559948714156
37,1966,"France",0.0235039829527384
38,1966,"France",0.0175764123837793
39,1966,"France",0.0230301150035143
40,1966,"France",0.0167799251706019
41,1966,"France",0.0238086252100172
42,1966,"France",0.015213046322155
43,1966,"France",0.0177084713578378
44,1966,"France",0.0216146400178956
45,1966,"France",0.0180326592011079
46,1966,"France",0.015650004802872
47,1966,"France",0.0151624272455328
48,1966,"France",0.0121587036064137
49,1966,"France",0.0170679677322549
50,1966,"France",0.0180383747871398
51,1966,"France",0.012348831144975
52,1966,"France",0.016234156236412
53,1966,"France",0.0167449610314842
54,1966,"France",0.0218274672285497
55,1966,"France",0.0222218933752449
56,1966,"France",0.0192466707208033
57,1966,"France",0.0163432160832755
58,1966,"France",0.0235180913571728
59,1966,"France",0.0150663241232812
60,1966,"France",0.021867759579295
61,1966,"France",0.0203341515547149
62,1966,"France",0.0205757351376117
63,1966,"France",0.0201330485989715
64,1966,"France",0.0209429342553243
65,1966,"France",0.0219391645026793
66,1966,"France",0.020040211895541
67,1966,"France",0.02070293299883
68,1966,"France",0.0179888436603025
69,1966,"France",0.0185267790278133
70,1966,"France",0.0213182772614984
71,1966,"France",0.0186922736901282
72,1966,"France",0.020665871545139
73,1966,"France",0.0186824299061684
74,1966,"France",0.0165029661325881
75,1966,"France",0.0214703803142961
76,1966,"France",0.0175752242474197
77,1966,"France",0.0175381346089528
78,1966,"France",0.021455258860194
79,1966,"France",0.014938746301914
80,1966,"France",0.0130676506545174
81,1966,"France",0.0130603129742648
82,1966,"France",0.0108308034711539
